"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.663194625E0,3.773890923E-1,-1.611642323E0,-1.503873168E-1,1.662055910E0
1.673213625E0,3.490505616E-1,-1.485310305E0,-2.339079219E-1,1.543598365E0
1.683232625E0,2.729089965E-1,-1.175224273E0,1.139740737E-1,1.211866948E0
1.693251625E0,2.319317092E-1,-8.188481730E-1,-1.190807395E-1,8.593514245E-1
1.703270625E0,2.580536335E-1,-5.147871119E-1,-4.219882911E-1,7.139128562E-1
1.713289625E0,3.029351067E-1,-1.918366206E-1,-2.681766987E-1,4.477607727E-1
1.723308625E0,3.242791249E-1,2.156581771E-1,9.450913131E-2,4.007460244E-1
1.733327625E0,3.375032609E-1,5.284380215E-1,1.195328023E-1,6.383128422E-1
1.743346625E0,3.059021301E-1,6.343872303E-1,-6.921005644E-2,7.076816396E-1
1.753365625E0,2.705709873E-1,6.108381540E-1,-1.910643496E-1,6.948650914E-1
1.763384625E0,1.865267640E-1,5.545844311E-1,-2.090527238E-1,6.213365965E-1
1.773403625E0,5.714988180E-2,4.695366794E-1,-1.428218237E-1,4.940939947E-1
1.783422625E0,-1.067302506E-1,3.263874847E-1,-7.270135581E-2,3.510065864E-1
1.793442625E0,-1.551085780E-1,2.198500460E-1,-4.216719568E-2,2.723431404E-1
1.803461625E0,-1.733805422E-1,9.573587716E-2,2.166861176E-2,1.992377959E-1
1.813480625E0,-1.835158134E-1,-7.203301907E-2,1.076783766E-1,2.246362446E-1
1.823499625E0,-1.271422957E-1,-2.266842717E-1,1.752634187E-1,3.134775723E-1
1.833518625E0,-2.850612648E-2,-3.528730327E-1,2.267597008E-1,4.204187654E-1
1.843537625E0,6.372763395E-2,-4.162369698E-1,2.595380223E-1,4.946457433E-1
1.853556625E0,6.027353749E-2,-3.881352514E-1,2.024411309E-1,4.418871849E-1
1.863575625E0,2.669385508E-2,-3.448845667E-1,1.301808013E-1,3.696010921E-1
1.873594625E0,4.022021905E-2,-3.620847362E-1,9.566563748E-2,3.766628949E-1
1.883613625E0,3.360380217E-2,-3.663678217E-1,4.706189990E-2,3.709035167E-1
1.893632625E0,-9.793647677E-3,-3.363692665E-1,5.005216599E-3,3.365490324E-1
1.903651625E0,-6.059469581E-2,-2.299236292E-1,-3.855493203E-2,2.408797941E-1
1.913670625E0,-9.208407171E-2,-1.230809659E-1,-7.137359932E-2,1.694774059E-1
1.923689625E0,-8.695335925E-2,-3.401793122E-2,-5.122058585E-2,1.064972053E-1
1.933709625E0,-1.453291829E-1,3.998793840E-2,-2.280238688E-2,1.524452540E-1
1.943728625E0,-1.957809695E-1,1.395800543E-1,-5.477671623E-2,2.466034635E-1
1.953747625E0,-2.222196302E-1,1.941018319E-1,-7.561984733E-2,3.045906212E-1
1.963766625E0,-2.668660088E-1,1.818291110E-1,-5.953284144E-2,3.283648146E-1
1.973785625E0,-3.138869051E-1,2.038818848E-1,-5.617566258E-3,3.743318971E-1
1.983804625E0,-2.875096767E-1,2.489235717E-1,4.349495217E-2,3.827748289E-1
1.993823625E0,-2.733932190E-1,2.259790975E-1,1.064164013E-1,3.703172359E-1
2.003842625E0,-3.018422255E-1,2.020230550E-1,1.558328287E-1,3.952289392E-1
2.013861625E0,-3.184809162E-1,1.281943560E-1,1.658691359E-1,3.812826473E-1
2.023880625E0,-2.861054679E-1,3.086101949E-2,1.893888299E-1,3.444950945E-1
2.033899625E0,-2.953244804E-1,-6.983388126E-2,2.049799919E-1,3.662104815E-1
2.043918625E0,-3.126673586E-1,-1.166595536E-1,2.657487886E-1,4.266060797E-1
2.053937625E0,-3.080348654E-1,-1.353548563E-1,2.523431696E-1,4.205751903E-1
2.063957625E0,-2.987286563E-1,-1.878628528E-1,6.186646521E-2,3.582718536E-1
2.073976625E0,-3.301214070E-1,-1.882698190E-1,-3.075560881E-1,4.888930511E-1
2.083995625E0,-4.773863471E-1,-1.652516699E-1,6.501519084E-2,5.093454759E-1
2.094014625E0,-4.935967293E-1,-6.996778250E-2,5.256927538E-1,7.244902298E-1
2.104033625E0,-3.592263614E-1,-5.012408674E-2,-1.002509509E-1,3.763060669E-1
2.114052625E0,-3.068985687E-1,-1.738429838E-1,-2.813091065E-1,4.511573206E-1
2.124071625E0,-2.474244918E-1,-2.699829036E-1,1.354886113E-1,3.904699875E-1
2.134090625E0,-2.451794899E-1,-2.989745682E-1,3.203234835E-1,5.021014925E-1
2.144109625E0,-3.343525618E-1,-2.465034091E-1,2.827292490E-1,5.024852183E-1
2.154128625E0,-4.030963028E-1,-4.336119711E-2,2.149629432E-1,4.588854865E-1
2.164147625E0,-3.782361346E-1,1.353343910E-1,-1.097156927E-2,4.018685683E-1
2.174166625E0,-3.152846454E-1,2.175702167E-1,-1.912994076E-1,4.281783159E-1
2.184185625E0,-2.135941466E-1,2.092449510E-1,-6.896337703E-2,3.068580394E-1
2.194203542E0,-5.554412674E-2,1.188037276E-1,1.071326852E-1,1.693425167E-1
2.204223542E0,8.655790474E-2,7.309019566E-4,9.122708917E-2,1.257584466E-1
2.214242542E0,2.484062758E-1,-5.274714768E-2,7.337261617E-2,2.643321401E-1
2.224261542E0,2.817247339E-1,-9.906118870E-2,2.433903515E-2,2.996236530E-1
2.234280542E0,1.978796083E-1,-9.822386742E-2,-7.191607475E-2,2.323277627E-1
2.244299542E0,1.203340901E-1,-6.842002451E-2,-1.023256892E-1,1.721398840E-1
2.254318542E0,4.551253393E-2,-2.687555730E-2,-4.751345113E-2,7.107189574E-2
2.264337542E0,3.132569041E-2,5.038721144E-2,4.250969633E-2,7.298797325E-2
2.274356542E0,1.255247731E-1,7.224995077E-2,1.447976710E-1,2.047996328E-1
2.284375542E0,2.108158420E-1,6.819139838E-2,1.818448985E-1,2.866373199E-1
2.294394542E0,2.917066985E-1,2.439341426E-2,2.094478494E-1,3.599392146E-1
2.304413542E0,4.332453507E-1,-6.924155831E-2,2.377021801E-1,4.989972483E-1
2.314432542E0,4.775090656E-1,-5.659286141E-2,1.688156940E-1,5.096237810E-1
2.324451542E0,4.722014017E-1,-5.814471245E-3,1.186762583E-1,4.869209650E-1
2.334471542E0,3.902480697E-1,2.044712842E-2,4.665085526E-1,6.085572040E-1
2.344490542E0,1.974234889E-1,4.034578800E-3,1.861211134E-1,2.713547138E-1
2.354509542E0,7.465067133E-3,-6.164427102E-2,-2.541141450E-1,2.615907913E-1
2.364528542E0,-7.880917456E-2,-6.162439048E-2,-3.446356215E-1,3.588623177E-1
2.374547542E0,-3.472873338E-2,1.781412721E-2,-3.187624231E-2,5.039367891E-2
2.384566542E0,1.901313532E-2,8.875020862E-2,1.028693341E-1,1.371867294E-1
2.394585542E0,-7.925268587E-2,1.311056846E-1,-1.005294245E-1,1.832371522E-1
2.404604542E0,-1.735796764E-1,1.365903729E-1,-2.298672035E-2,2.220703117E-1
2.414623542E0,-1.465963842E-1,3.875768423E-2,3.632103252E-1,3.935916644E-1
2.424642542E0,-7.741165347E-2,-4.185612381E-2,6.006445567E-1,6.070571495E-1
2.434661542E0,2.810522676E-2,-1.348631054E-1,6.663399249E-1,6.804313753E-1
2.444680542E0,2.429367903E-1,-2.255633605E-1,6.571733911E-1,7.360529734E-1
2.454699542E0,4.731143348E-1,-2.590696603E-1,5.653715207E-1,7.814084841E-1
2.464719542E0,6.652399175E-1,-2.574739552E-1,4.789064039E-1,8.591788691E-1
2.474738542E0,7.074224621E-1,-2.846301788E-1,3.647334518E-1,8.452759132E-1
2.484757542E0,5.634067466E-1,-3.525315553E-1,3.439789791E-1,7.483496493E-1
2.494776542E0,2.873406922E-1,-4.101693141E-1,4.263105530E-1,6.576809464E-1
2.504795542E0,-8.079481591E-2,-4.065446252E-1,5.511929729E-1,6.896521064E-1
2.514814542E0,-4.482852299E-1,-3.080219650E-1,6.788056040E-1,8.698357467E-1
2.524833542E0,-7.398691734E-1,-1.651663005E-1,8.612240412E-1,1.147341775E0
2.534852542E0,-9.414023048E-1,-7.378016710E-3,1.069220100E0,1.424613757E0
2.544871542E0,-1.120345449E0,1.616848683E-1,1.208903650E0,1.656129209E0
2.554890542E0,-1.229492573E0,2.919625872E-1,1.138556968E0,1.700942712E0
2.564909542E0,-1.420662904E0,1.806789637E-3,8.881394327E-1,1.675433676E0
2.574928542E0,-1.324908023E0,5.922527790E-2,3.824101695E-1,1.380263178E0
2.584947542E0,-1.411049204E0,6.712135792E-2,-1.393859267E-2,1.412713495E0
2.594967542E0,-1.839673793E0,1.279160285E-1,-6.530223066E-1,1.956323160E0
2.604986542E0,-2.435689547E0,2.890810794E-1,-1.300214939E0,2.776096239E0
2.615005542E0,-2.994631908E0,4.136525005E-1,-1.720867726E0,3.478550616E0
2.625024542E0,-3.255591681E0,3.633617681E-1,-1.861382750E0,3.767712132E0
2.635043542E0,-3.175160598E0,2.212837833E-1,-1.850723276E0,3.681818570E0
2.645062542E0,-2.955352945E0,1.208490837E-1,-1.950800126E0,3.543209938E0
2.655081542E0,-2.616485163E0,1.770536900E-2,-2.302765671E0,3.485546991E0
2.665100542E0,-2.193533397E0,-2.443317533E-2,-2.640293271E0,3.432686164E0
2.675119542E0,-1.837882352E0,1.508160639E-1,-2.643100519E0,3.222815133E0
2.685138542E0,-1.507213244E0,4.875332397E-1,-1.947753727E0,2.510602518E0
2.695157542E0,-1.397317603E0,6.744272089E-1,-2.093679180E0,2.605924222E0
2.705176542E0,-1.571625148E0,9.376805520E-1,-2.326582550E0,2.960107563E0
2.715195542E0,-1.355217943E0,1.314478052E0,-1.723142293E0,2.556107898E0
2.725214542E0,-1.043704093E0,1.369094555E0,-1.552285482E0,2.318044079E0
2.735234542E0,-9.614327460E-1,1.105203280E0,-1.685193279E0,2.232868918E0
2.745253542E0,-9.575173042E-1,4.990236032E-1,-1.659733917E0,1.980045611E0
2.755272542E0,-8.198560137E-1,1.750475103E-1,-1.599789432E0,1.806137243E0
2.765291542E0,-9.711372967E-1,-2.641620004E-1,-1.569532430E0,1.864489544E0
2.775310542E0,-1.119424001E0,-5.943244475E-1,-9.461245892E-1,1.581607847E0
2.785329542E0,-1.014560182E0,-7.139999950E-1,-6.636208966E-1,1.406954530E0
2.795348542E0,-8.822482898E-1,-8.999163097E-1,-1.462683188E0,1.930713215E0
2.805367542E0,-7.616073670E-1,-9.466373169E-1,-1.807984223E0,2.178296339E0
2.815386542E0,-4.555429036E-1,-9.913989222E-1,-1.537440425E0,1.885235853E0
2.825405542E0,-1.338674708E-1,-8.671105063E-1,-1.116049865E0,1.419636725E0
2.835424542E0,6.871457800E-2,-6.418892080E-1,-1.138082320E0,1.308424555E0
2.845443542E0,1.159605190E-1,-6.578889441E-1,-1.398277277E0,1.549659333E0
2.855462542E0,3.089602970E-1,-3.831674570E-1,-1.553518075E0,1.629629460E0
2.865481542E0,3.059582268E-1,-5.908780986E-1,-1.428839212E0,1.576175389E0
2.875501542E0,-1.522037543E-2,-9.358228916E-1,-1.029160826E0,1.391103213E0
2.885520542E0,-3.659570182E-1,-9.341967809E-1,-7.255615483E-1,1.238179197E0
2.895539542E0,-7.100272505E-1,-8.020742655E-1,-6.247247064E-1,1.240057572E0
2.905558542E0,-8.483965657E-1,-6.416401166E-1,-5.572298576E-1,1.200826335E0
2.915577542E0,-8.200732378E-1,-5.102046490E-1,-5.581595649E-1,1.115513783E0
2.925596542E0,-7.649002996E-1,-5.261786574E-1,-5.941990247E-1,1.102274434E0
2.935615542E0,-8.222651397E-1,-6.799639374E-1,-5.344548064E-1,1.193361997E0
2.945634542E0,-9.026142150E-1,-9.180011630E-1,-4.237494725E-1,1.355360532E0
2.955653542E0,-9.659790292E-1,-1.154217566E0,-3.296753740E-1,1.540785360E0
2.965672542E0,-1.018018956E0,-1.335080717E0,-3.754685743E-1,1.720401048E0
2.975691542E0,-1.133395192E0,-1.391240884E0,-4.038806337E-1,1.839362777E0
2.985710542E0,-1.320535329E0,-1.438689870E0,-2.463899732E-1,1.968336891E0
2.995729542E0,-1.409373685E0,-1.378036117E0,-5.419661397E-1,2.044271268E0
3.005748542E0,-9.759366913E-1,-6.617925453E-1,-5.258759178E-1,1.291110870E0
3.015768542E0,-4.211211856E-1,-8.128623784E-2,-5.468883258E-1,6.950088822E-1
3.025787542E0,1.532295387E-1,5.923422414E-1,7.506596982E-2,6.164280350E-1
3.035806542E0,7.438531738E-1,1.426262197E0,3.645291647E-1,1.649370459E0
3.045825542E0,1.398176997E0,1.912798487E0,-5.089299560E-1,2.423366804E0
