"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.475066542E0,9.849346060E-2,-5.934830332E-1,5.948583714E-1,8.460375609E-1
1.485085542E0,5.743458638E-2,-6.674310154E-1,6.441702799E-1,9.293644288E-1
1.495104542E0,1.463192992E-1,-9.164417106E-1,7.179211378E-1,1.173322422E0
1.505122542E0,2.396877667E-1,-1.164871777E0,8.370862234E-1,1.454334841E0
1.515141542E0,1.989862487E-1,-1.270719244E0,8.489105359E-1,1.541094424E0
1.525160542E0,2.116602165E-1,-1.406559420E0,8.686717129E-1,1.666673331E0
1.535178542E0,1.811502310E-1,-1.596304491E0,9.508858307E-1,1.866865635E0
1.545197542E0,1.165333634E-2,-1.664557285E0,9.787220856E-1,1.931005872E0
1.555215542E0,2.214523293E-2,-1.800380504E0,1.044081166E0,2.081337515E0
1.565234542E0,1.895513460E-1,-2.036955925E0,1.225814821E0,2.384898557E0
1.575253542E0,3.230789108E-1,-2.279248170E0,1.305504330E0,2.646449274E0
1.585271542E0,4.648920898E-1,-2.615703390E0,1.220384146E0,2.923587923E0
1.595290542E0,5.088581083E-1,-2.973495101E0,1.255880181E0,3.267697158E0
1.605309542E0,4.222767781E-1,-3.165328798E0,1.507355770E0,3.531252680E0
1.615327542E0,3.422586552E-1,-3.260677589E0,1.603174385E0,3.649565376E0
1.625346542E0,2.300669408E-1,-3.404062427E0,1.318299354E0,3.657661136E0
1.635364542E0,8.901112234E-2,-3.510982858E0,1.310128309E0,3.748514345E0
1.645383542E0,-5.263371170E-3,-3.669938246E0,1.876053707E0,4.121656456E0
1.655402542E0,2.010294668E-2,-3.954433354E0,1.753457036E0,4.325801528E0
1.665420542E0,6.936040297E-3,-4.159222142E0,1.000838813E0,4.277949891E0
1.675439542E0,2.143877964E-2,-4.014842108E0,6.603859976E-2,4.015442426E0
1.685458542E0,5.291368369E-2,-3.580575834E0,-4.751796810E-1,3.612356418E0
1.695476542E0,-6.592684485E-2,-2.423587273E0,-5.817978112E-1,2.493313119E0
1.705495542E0,-1.955604199E-1,-9.708962452E-1,-4.166351652E-1,1.074461846E0
1.715514542E0,-5.746730521E-1,8.993871367E-1,-2.188867173E-1,1.089521791E0
1.725532542E0,-1.144157943E0,3.100742208E0,-3.135636637E-1,3.319943043E0
1.735551542E0,-1.629865901E0,5.379757074E0,-7.822624370E-2,5.621776265E0
1.745570542E0,-1.137571127E0,7.167645001E0,3.553817806E-1,7.266051138E0
1.755588542E0,8.212092056E-1,7.336446515E0,4.748085290E-3,7.382266222E0
