"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.634946000E0,2.036607504E-1,1.156589196E0,-3.713017023E0,3.894312735E0
1.644965000E0,-3.079882704E-1,1.782209696E0,-3.819875473E0,4.226414178E0
1.654984000E0,-5.101857917E-1,2.559037731E0,-3.905079930E0,4.696659761E0
1.665003000E0,-4.176902222E-1,3.361201751E0,-3.894839702E0,5.161581021E0
1.675022000E0,-9.689698800E-2,3.925097581E0,-3.905144835E0,5.537683290E0
1.685040000E0,3.211932568E-1,4.064730260E0,-3.885566602E0,5.632301929E0
1.695059000E0,7.249364810E-1,3.934197603E0,-4.197073508E0,5.798178137E0
1.705078000E0,1.167232152E0,3.597585384E0,-4.667325886E0,6.007410626E0
1.715097000E0,1.554078092E0,3.032433573E0,-4.722910688E0,5.823804380E0
1.725115000E0,1.629046706E0,2.412535450E0,-4.806045231E0,5.618913705E0
1.735134000E0,1.913748075E0,1.678643520E0,-4.734248439E0,5.375256649E0
1.745153000E0,1.744065823E0,1.057022223E0,-4.859845462E0,5.270404111E0
1.755172000E0,1.029910439E0,8.752390131E-1,-5.306963332E0,5.476369112E0
1.765191000E0,5.860912755E-1,9.621616745E-1,-5.435419643E0,5.550949898E0
1.775209000E0,4.953629538E-1,1.430614572E0,-5.203989771E0,5.419737267E0
1.785228000E0,1.246983057E-1,1.821421124E0,-5.530557935E0,5.824104708E0
1.795247000E0,-1.982630029E-1,2.294348896E0,-5.891660923E0,6.325742131E0
1.805266000E0,-2.054166327E-1,3.001997061E0,-6.012214723E0,6.723162070E0
1.815284000E0,9.247737005E-2,3.597860496E0,-6.351140392E0,7.300009348E0
1.825303000E0,3.602032484E-1,4.202982119E0,-6.347751930E0,7.621598234E0
1.835322000E0,7.198919418E-1,4.809796804E0,-6.412602814E0,8.048221205E0
1.845341000E0,1.451080412E0,4.979639123E0,-6.921792387E0,8.649488424E0
1.855360000E0,2.300567118E0,4.721670201E0,-7.412585449E0,9.084778566E0
1.865378000E0,2.932132774E0,4.388736759E0,-7.798291183E0,9.416568287E0
1.875397000E0,2.871075856E0,4.075774773E0,-8.010995346E0,9.435627325E0
1.885416000E0,2.291320185E0,3.850786779E0,-7.991991895E0,9.162458265E0
1.895435000E0,1.543043666E0,3.983173296E0,-7.743555397E0,8.843602402E0
1.905452292E0,7.678870574E-1,4.007411174E0,-7.535133734E0,8.568969322E0
1.915471292E0,5.239149079E-2,4.110488523E0,-7.308320239E0,8.385130022E0
1.925490292E0,-7.271626621E-2,3.992725892E0,-6.777207116E0,7.866236966E0
1.935509292E0,1.013576826E-1,3.585296291E0,-6.471376103E0,7.398873667E0
